,id,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
17511,7045413757,bellingham,8495,2009.0,audi,,,gas,92543.0,clean,automatic,4wd,,sedan,silver,1
17512,7045413328,bellingham,5995,2004.0,acura,,,gas,142274.0,clean,manual,fwd,,sedan,,1
17513,7045412874,bellingham,7995,2007.0,acura,,,gas,109290.0,clean,automatic,fwd,,sedan,silver,1
17514,7045407065,bellingham,43999,2019.0,jeep,,,gas,17213.0,clean,automatic,4wd,,SUV,black,1
17515,7045396934,bellingham,12999,2015.0,volkswagen,,,diesel,61982.0,clean,automatic,fwd,,sedan,silver,1
17516,7045396034,bellingham,9995,1985.0,gmc,good,8 cylinders,gas,66000.0,clean,automatic,rwd,mid-size,truck,black,1
17517,7045392446,bellingham,32500,2017.0,dodge,,8 cylinders,gas,38650.0,clean,automatic,4wd,,SUV,,1
17518,7045392128,bellingham,20000,2016.0,nissan,,6 cylinders,gas,49626.0,clean,automatic,fwd,,sedan,,1
17519,7045392016,bellingham,6000,1995.0,jeep,excellent,6 cylinders,gas,148896.0,clean,manual,4wd,compact,offroad,white,1
17520,7045386618,bellingham,19749,2018.0,toyota,,,gas,50017.0,clean,automatic,4wd,,SUV,white,1
17521,7045376272,bellingham,27999,2016.0,ford,,,gas,55042.0,clean,automatic,,,SUV,white,1
17522,7045365619,bellingham,18999,2017.0,ford,,,gas,21490.0,clean,automatic,rwd,,coupe,white,1
17523,7045364529,bellingham,8000,2012.0,honda,good,4 cylinders,gas,122000.0,clean,automatic,fwd,compact,sedan,grey,1
17524,7045359171,bellingham,13900,2006.0,ford,,,diesel,194600.0,clean,automatic,,,,,1
17525,7045356394,bellingham,69999,2018.0,gmc,,8 cylinders,diesel,14584.0,clean,automatic,4wd,,truck,black,1
17526,7045355048,bellingham,22999,2015.0,ford,,,gas,54188.0,clean,manual,rwd,,coupe,black,1
17527,7045354695,bellingham,0,2001.0,ford,,,gas,,clean,automatic,,,,,1
17528,7045333373,bellingham,32249,2015.0,dodge,,,gas,23837.0,clean,manual,rwd,,coupe,silver,1
17529,7045333334,bellingham,13500,2013.0,ford,,6 cylinders,gas,85467.0,clean,automatic,4wd,,SUV,,1
17530,7045333152,bellingham,19999,2010.0,toyota,,8 cylinders,gas,111597.0,clean,automatic,4wd,,SUV,,1
17531,7045332111,bellingham,9000,2008.0,chevrolet,good,8 cylinders,gas,270000.0,clean,automatic,4wd,,SUV,,1
17532,7045331071,bellingham,0,2008.0,toyota,,,gas,,clean,automatic,,,,,1
